MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0022,Parroquia ASUNCION DE LA SANTISIMA VIRGEN,Gaona Av. 2194,Ver en mapa,CABA,-34.613553,-58.458377,Gaona Av. 2798 | Gaona Av. 2198,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0023,PARROQUIA SAN NICOLAS DE BARI,Santa Fe Av. 1352,Ver en mapa,CABA,-34.595791,-58.386535,Santa Fe Av. 1354 | Santa Fe Av. 1370,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0024,PARROQUIA BUEN PASTOR I. C.,"Aranguren, Juan F., Dr. 693",Ver en mapa,CABA,-34.614335,-58.442114,"Aranguren, Juan F., Dr. 701 | Aranguren, Juan F., Dr. 691",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0025,PARROQUIA CORAZON DE JESUS,"Paz, Gral. Av. 5316",Ver en mapa,CABA,-34.575127,-58.511432,"Paz, Gral. Av. 5370 | Paz, Gral. Av. 5306 | Paz, Gral. Av. 5310",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0026,PARROQUIA CORPUS DOMINI,Albariño 256,Ver en mapa,CABA,-34.641029,-58.508466,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0027,PARROQUIA CRISTO MAESTRO,Mercedes 1630,Ver en mapa,CABA,-34.619719,-58.494724,Mercedes 1632,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0028,Parroquia CRISTO OBRERO,Sn - Villa 31,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0029,INSTITUTO CRISTO OBRERO A 353,Lafuente 3242,Ver en mapa,CABA,-34.663096,-58.438262,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela, Cedidos a terceros",U5
PROP_0030,PARROQUIA CRISTO REY,Larsen 2384,Ver en mapa,CABA,-34.57543,-58.502598,Larsen 2378 | Larsen 2380 | Zamudio 5551 | Larsen 2386 | Zamudio 5501 | Zamudio 5541,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0031,PARROQUIA DULCISIMO NOMBRE DE JESUS,Valdenegro 3621,Ver en mapa,CABA,-34.559433,-58.491737,Valdenegro 3611,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0032,PARROQUIA ENCARNACION DEL SEÑOR,"Rodriguez, Manuel A., Gral. 2442",Ver en mapa,CABA,-34.598201,-58.458878,"Rodriguez, Manuel A., Gral. 2444",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0033,INSTITUTO EDUCACIONAL CEFERINO NAMUNCURA,Pacheco 2059,Ver en mapa,CABA,-34.576126,-58.481124,Pacheco 2069,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U1
PROP_0034,BASILICA SANTA ROSA DE LIMA,Pasco 446,Ver en mapa,CABA,-34.614736,-58.397258,Belgrano Av. 2208 | Belgrano Av. 2220 | Pasco 409 | Pasco 431 | Republica Bolivariana De Venezuela 2201 | Belgrano Av. 2216 | Pasco 448,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0035,Parroquia IGLESIA CATEDRAL METROPOLITANA,San Martin 11,Ver en mapa,CABA,-34.607727,-58.373553,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0036,PARROQUIA INMACULADA CONCEPCION,"Obligado Rafael, Av.Costanera 2030",Ver en mapa,CABA,,,Vuelta De Obligado 2042,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
